;vectorizer;transformer;classifier;accuracy;f1_score;fscore_1;fscore_2;precision_1;precision_2;recall_1;recall_2;transformer_time;vectorizer_time;classifier_time
0;1-grams;TF l2 log;Nearest Neighbors;0,5236;0,1498929336188437;0,6690747429841623;0,1498929336188437;0,5090370996723391;0,7792207792207793;0,975886524822695;0,08292201382033564;0,03;0,69;10,09
1;1-grams;TF l2 log;Linear SVM;0,6745;0,6770512947713067;0,6719080737828848;0,6770512947713067;0,6684717208182912;0,6804946150777822;0,6753799392097265;0,6736426456071076;0,03;0,69;184,24
2;1-grams;TF l2 log;RBF SVM;0,7247;0,7265322340319857;0,7228430484244438;0,7265322340319857;0,7182873149259704;0,7311075569772091;0,7274569402228976;0,7220138203356368;0,03;0,69;414,14
3;1-grams;TF l2 log;Decision Tree;0,6147;0,6186281302583392;0,6106901081135697;0,6186281302583392;0,6090286174929463;0,6202858277094085;0,6123606889564336;0,6169792694965449;0,03;0,69;0,22
4;1-grams;TF l2 log;Random Forest;0,495;0,009415457041977248;0,6611193128439136;0,009415457041977248;0,4942309621751781;0,7272727272727273;0,998176291793313;0,004738400789733465;0,03;0,69;0,06
5;1-grams;TF l2 log;AdaBoost;0,6509;0,6398431858041886;0,6612981468904628;0,6398431858041886;0,6344005956813105;0,6700518582541054;0,6905775075987842;0,6122408687068115;0,03;0,69;2,87
6;1-grams;TF l2 log;Naive Bayes;0,7075;0,6959143362095852;0,7182352374530392;0,6959143362095852;0,6845391112743298;0,7349582784365393;0,7554204660587639;0,6608094768015794;0,03;0,69;0,02
7;1-grams;TF l2 linear;Nearest Neighbors;0,5257;0,1600850008854259;0,6695464362850971;0,1600850008854259;0,5101932469738798;0,7766323024054983;0,9736575481256332;0,08923988153998026;0,02;0,69;9,92
8;1-grams;TF l2 linear;Linear SVM;0,6729;0,6750124192747143;0,6707599396074484;0,6750124192747143;0,6664;0,6794;0,675177304964539;0,6706811451135242;0,02;0,69;178,89
9;1-grams;TF l2 linear;RBF SVM;0,7216;0,7239190797302658;0,7192416296893909;0,7239190797302658;0,7159204978919895;0,7272365012950787;0,7225937183383991;0,7206317867719645;0,02;0,69;369,04
10;1-grams;TF l2 linear;Decision Tree;0,6148;0,6191417836662053;0,6103580821363543;0,6191417836662053;0,6093718440719047;0,6201227965933849;0,6113475177304964;0,6181638696939783;0,02;0,69;0,2
11;1-grams;TF l2 linear;Random Forest;0,4943;0,006288072312831597;0,6608544027898866;0,006288072312831597;0,4938853247794707;0,6666666666666666;0,9983789260385004;0,003158933859822309;0,02;0,69;0,06
12;1-grams;TF l2 linear;AdaBoost;0,6518;0,6346274921301155;0,6674307545367716;0,6346274921301155;0,6312556458897922;0,6772676371780515;0,7080040526849037;0,5970384995064166;0,02;0,69;2,78
13;1-grams;TF l2 linear;Naive Bayes;0,7069;0,6953539133146243;0,7176028519125157;0,6953539133146243;0,6840558412931668;0,7341966637401229;0,7546099290780142;0,6604146100691016;0,02;0,69;0,01
14;1-grams;TF-IDF l2 log;Nearest Neighbors;0,5545;0,3688907777305567;0,655745305617804;0,3688907777305567;0,5299775168623533;0,6529588766298897;0,8597771023302938;0,2570582428430405;0,01;0,69;9,5
15;1-grams;TF-IDF l2 log;Linear SVM;0,6603;0,6631631135349529;0,6573877962682804;0,6631631135349529;0,6544176706827309;0,6661354581673307;0,6603850050658562;0,6602171767028627;0,01;0,69;181,11
16;1-grams;TF-IDF l2 log;RBF SVM;0,7170000000000001;0,7175648702594811;0,7164328657314629;0,7175648702594811;0,7086223984142715;0,7255297679112008;0,7244174265450861;0,7097729516288253;0,01;0,69;383,3
17;1-grams;TF-IDF l2 log;Decision Tree;0,6153;0,6177844013909588;0,6127830900855561;0,6177844013909588;0,6088;0,6218;0,6168186423505573;0,6138203356367226;0,01;0,69;0,19
18;1-grams;TF-IDF l2 log;Random Forest;0,4957;0,03520183661756265;0,6586339944493331;0,03520183661756265;0,4945110794877007;0,5679012345679012;0,9858156028368794;0,018163869693978284;0,01;0,69;0,07
19;1-grams;TF-IDF l2 log;AdaBoost;0,6497;0,6319218241042346;0,665839931317371;0,6319218241042346;0,6290555155010815;0,6754267744833783;0,7071935157041541;0,5936821322803554;0,01;0,69;2,13
20;1-grams;TF-IDF l2 log;Naive Bayes;0,7107;0,6991785380056151;0,7213714725994413;0,6991785380056151;0,6874082232011748;0,7385764499121266;0,7588652482269503;0,6637709772951629;0,01;0,69;0,01
21;1-grams;TF-IDF l2 linear;Nearest Neighbors;0,5585;0,38191236175276494;0,6566072956366182;0,38191236175276494;0,53281999495077;0,6564003849855631;0,8553191489361702;0,2692991115498519;0,01;0,69;10,29
22;1-grams;TF-IDF l2 linear;Linear SVM;0,6603;0,6614848031888391;0,6591068740592072;0,6614848031888391;0,652882703777336;0,6678068410462776;0,6654508611955421;0,6552813425468904;0,01;0,69;195,09
23;1-grams;TF-IDF l2 linear;RBF SVM;0,716;0,7175253630395863;0,7144580735974261;0,7175253630395863;0,7090401117541411;0,7229905792744037;0,7199594731509625;0,712142152023692;0,01;0,69;428,44
24;1-grams;TF-IDF l2 linear;Decision Tree;0,6147;0,6177200119059431;0,6116318919463763;0,6177200119059431;0,6085038106698757;0,6208615875548464;0,6147922998986829;0,6146100691016781;0,01;0,69;0,16
25;1-grams;TF-IDF l2 linear;Random Forest;0,4932;0,00196927924379677;0,6603672429969173;0,00196927924379677;0,4933413437468709;0,38461538461538464;0,9983789260385004;0,0009871668311944716;0,01;0,69;0,06
26;1-grams;TF-IDF l2 linear;AdaBoost;0,6494;0,6386312100597815;0,6595455428238494;0,6386312100597815;0,6332276710796196;0,6681043778304938;0,6881458966565349;0,6116485686080948;0,01;0,69;2,05
27;1-grams;TF-IDF l2 linear;Naive Bayes;0,7085;0,6973943735077338;0,7188193305681488;0,6973943735077338;0,6859351988217968;0,7353327495621717;0,7550151975683891;0,6631786771964462;0,01;0,69;0,01
28;1- and 2-grams;TF l2 log;Nearest Neighbors;0,5297;0,18308146604134096;0,6698027101032086;0,18308146604134096;0,5124623979372582;0,7615606936416185;0,9665653495440728;0,10404738400789733;0,04;1,94;10,06
29;1- and 2-grams;TF l2 log;Linear SVM;0,6692;0,6398867842368822;0,6941002404290734;0,6398867842368822;0,6383738731076714;0,7131764134918709;0,7604863221884498;0,5802566633761106;0,04;1,94;239,84
30;1- and 2-grams;TF l2 log;RBF SVM;0,7239;0,7264982664685489;0,7212518929833418;0,7264982664685489;0,7187122736418511;0,7290258449304174;0,7238095238095238;0,7239881539980256;0,04;1,94;555,19
31;1- and 2-grams;TF l2 log;Decision Tree;0,6154;0,609463850528026;0,6211583924349882;0,609463850528026;0,6043703277745831;0,6274304829604851;0,6389057750759879;0,592497532082922;0,04;1,94;0,31
32;1- and 2-grams;TF l2 log;Random Forest;0,4976;0,02180685358255452;0,6620021528525296;0,02180685358255452;0,495518179071407;0,7887323943661971;0,9969604863221884;0,011056268509378084;0,04;1,94;0,06
33;1- and 2-grams;TF l2 log;AdaBoost;0,6583;0,6493586454592098;0,6667966845441248;0,6493586454592098;0,6426691729323308;0,6760683760683761;0,6928064842958461;0,6246791707798618;0,04;1,94;3,5
34;1- and 2-grams;TF l2 log;Naive Bayes;0,7184;0,7147487844408428;0,7219589257503949;0,7147487844408428;0,7040246485653765;0,7339296858747659;0,7408308004052685;0,6965449160908194;0,04;1,94;0,02
35;1- and 2-grams;TF l2 linear;Nearest Neighbors;0,5313;0,1900812165197857;0,6702314782241611;0,1900812165197857;0,5133649493425307;0,7617728531855956;0,9651469098277607;0,10858835143139192;0,03;1,94;10,66
36;1- and 2-grams;TF l2 linear;Linear SVM;0,6687;0,6396170999673666;0,6934394374016839;0,6396170999673666;0,6381130790190735;0,7122093023255814;0,7592705167173253;0,5804540967423495;0,03;1,94;244,56
37;1- and 2-grams;TF l2 linear;RBF SVM;0,7224;0,7254746835443038;0,7192556634304207;0,7254746835443038;0,7179487179487181;0,7267683772538142;0,7205673758865249;0,7241855873642645;0,03;1,94;556,98
38;1- and 2-grams;TF l2 linear;Decision Tree;0,6158;0,6174068910575583;0,6141795541273348;0,6174068910575583;0,6087995221978897;0,6228651798272051;0,6196555217831814;0,6120434353405726;0,03;1,94;0,29
39;1- and 2-grams;TF l2 linear;Random Forest;0,4929;0,0062708210856359;0,6595958917902934;0,0062708210856359;0,4931740614334471;0,42105263157894735;0,9955420466058764;0,003158933859822309;0,03;1,94;0,07
40;1- and 2-grams;TF l2 linear;AdaBoost;0,6566;0,6465623713462328;0,6660832360949047;0,6465623713462328;0,6403065993643672;0,6753386368522898;0,6940222897669707;0,6201382033563673;0,03;1,94;3,65
41;1- and 2-grams;TF l2 linear;Naive Bayes;0,7173;0,71412680756396;0,7204035209178123;0,71412680756396;0,7036321483771252;0,7319651741293532;0,7379939209726444;0,6971372161895361;0,03;1,94;0,01
42;1- and 2-grams;TF-IDF l2 log;Nearest Neighbors;0,5619;0,3666329333526095;0,6651379652984789;0,3666329333526095;0,5339960726558665;0,6846652267818575;0,881661600810537;0,2503455083909181;0,01;1,94;10,93
43;1- and 2-grams;TF-IDF l2 log;Linear SVM;0,6589;0,6550015171437241;0,6627113616137644;0,6550015171437241;0,6471610660486674;0,671505599336375;0,6790273556231003;0,63928923988154;0,01;1,94;221,97
44;1- and 2-grams;TF-IDF l2 log;RBF SVM;0,7221;0,7246060846298682;0,7195478857604197;0,7246060846298682;0,7167269802975472;0,7274174293672901;0,7223910840932117;0,7218163869693979;0,01;1,94;531,62
45;1- and 2-grams;TF-IDF l2 log;Decision Tree;0,6123;0,6039432015527634;0,6203114288512388;0,6039432015527634;0,6002653525398028;0,6257408975444538;0,6417426545086121;0,5836130306021717;0,01;1,94;0,24
46;1- and 2-grams;TF-IDF l2 log;Random Forest;0,4946;0,006682389937106918;0,6610783261802575;0,006682389937106918;0,4940362834519394;0,7391304347826086;0,9987841945288752;0,003356367226061205;0,01;1,94;0,07
