;activation;dense;layers;ngrams;regularization;precision;recall;f1-score
294;hard_sigmoid;15;10;5;0;0,729252088;0,72925;0,729250999
262;relu;15;6;5;0,1;0,729204418;0,729;0,728810067
159;sigmoid;30;6;4;0;0,727736366;0,72775;0,727710011
258;hard_sigmoid;15;6;5;0;0,726996131;0,727;0,726997884
187;hard_sigmoid;15;10;4;0,1;0,726986151;0,72675;0,726539235
147;sigmoid;15;6;4;0;0,726241146;0,72625;0,726244438
87;sigmoid;30;10;3;0;0,726183993;0,726;0,725815447
63;sigmoid;60;6;3;0;0,725728727;0,7255;0,725509882
202;relu;30;10;4;0,1;0,725044926;0,725;0,724899821
315;sigmoid;60;10;5;0;0,723922613;0,72375;0,723567651
153;relu;15;6;4;0;0,725495094;0,72375;0,722887963
307;hard_sigmoid;30;10;5;0,1;0,723067178;0,723;0,72288141
267;sigmoid;30;6;5;0;0,722775321;0,72275;0,722662794
210;hard_sigmoid;60;10;4;0;0,722509217;0,7225;0,722503886
75;sigmoid;15;10;3;0;0,722482077;0,7225;0,72246502
280;sigmoid;60;6;5;0,1;0,723626027;0,72275;0,722233565
54;hard_sigmoid;30;6;3;0;0,722764436;0,722;0,721930493
306;hard_sigmoid;30;10;5;0;0,732181984;0,72475;0,721910155
105;relu;60;10;3;0;0,722973413;0,722;0,721438531
135;sigmoid;60;3;4;0;0,721527366;0,7215;0,7214097
291;sigmoid;15;10;5;0;0,721240927;0,72125;0,721244336
190;relu;15;10;4;0,1;0,731316094;0,72375;0,720842305
316;sigmoid;60;10;5;0,1;0,724953456;0,722;0,720664912
99;sigmoid;60;10;3;0;0,72586014;0,722;0,720333862
93;relu;30;10;3;0;0,72160954;0,72025;0,720057929
51;sigmoid;30;6;3;0;0,7198468;0,71975;0,719765607
150;hard_sigmoid;15;6;4;0;0,720543055;0,72;0,719621233
171;sigmoid;60;6;4;0;0,720134396;0,7195;0,719452663
207;sigmoid;60;10;4;0;0,727765605;0,72175;0,71932146
195;sigmoid;30;10;4;0;0,723861214;0,7205;0,718995925
295;hard_sigmoid;15;10;5;0,1;0,727419617;0,721;0,718416757
90;hard_sigmoid;30;10;3;0;0,723718897;0,71925;0,718294256
142;relu;60;3;4;0,1;0,718451134;0,71825;0,718040727
39;sigmoid;15;6;3;0;0,719820866;0,718;0,717699185
322;relu;60;10;5;0,1;0,718025001;0,71775;0,717498624
76;sigmoid;15;10;3;0,1;0,719400541;0,718;0,717235849
303;sigmoid;30;10;5;0;0,732087226;0,721;0,716862536
286;relu;60;6;5;0,1;0,718166387;0,71675;0,716539791
198;hard_sigmoid;30;10;4;0;0,72303282;0,7185;0,716536889
268;sigmoid;30;6;5;0,1;0,718590566;0,71725;0,716506071
297;relu;15;10;5;0;0,716732845;0,7165;0,716268915
189;relu;15;10;4;0;0,71951424;0,71725;0,716129135
67;hard_sigmoid;60;6;3;0,1;0,718975142;0,717;0,715992528
255;sigmoid;15;6;5;0;0,716042519;0,716;0,715890642
69;relu;60;6;3;0;0,719565988;0,717;0,715757619
103;hard_sigmoid;60;10;3;0,1;0,725230295;0,7185;0,715753795
259;hard_sigmoid;15;6;5;0,1;0,715768978;0,71575;0,715660593
123;sigmoid;30;3;4;0;0,715959181;0,71575;0,715530751
