;activation;layers;ngrams;regularization;precision;recall;f1-score
50;sigmoid;10;5;False;0,7271125;0,727;0,727015357
32;sigmoid;10;4;False;0,72163703;0,7215;0,721334391
16;relu;10;3;False;0,716895002;0,7165;0,716490361
51;sigmoid;10;5;True;0,71448436;0,71425;0,714012838
8;sigmoid;5;3;False;0,713271551;0,713;0,713005812
26;sigmoid;5;4;False;0,71596407;0,71375;0,712615261
33;sigmoid;10;4;True;0,713286154;0,711;0,710564898
28;relu;5;4;False;0,711391974;0,709;0,707741977
46;relu;5;5;False;0,712801366;0,709;0,707163274
15;sigmoid;10;3;True;0,707507529;0,7065;0,705838247
40;relu;2;5;False;0,70639186;0,70525;0,705085978
22;relu;2;4;False;0,705888998;0,70425;0,703276145
10;relu;5;3;False;0,703441626;0,70325;0,703012483
17;relu;10;3;True;0,712147614;0,70525;0,702116652
47;relu;5;5;True;0,703792222;0,70225;0,70130392
14;sigmoid;10;3;False;0,716070855;0,705;0,7002869
41;relu;2;5;True;0,699999812;0,6995;0,699469949
20;sigmoid;2;4;False;0,699729726;0,6995;0,699227719
38;sigmoid;2;5;False;0,708301214;0,70125;0,697947135
44;sigmoid;5;5;False;0,716828575;0,703;0,697195857
53;relu;10;5;True;0,715657847;0,70175;0,695856624
23;relu;2;4;True;0,699606726;0,697;0,695501944
29;relu;5;4;True;0,710969713;0,70025;0,695480463
35;relu;10;4;True;0,712889959;0,70025;0,694754017
2;sigmoid;2;3;False;0,693862556;0,6935;0,693492414
34;relu;10;4;False;0,72492578;0,69875;0,688387817
39;sigmoid;2;5;True;0,687720767;0,68775;0,687708511
5;relu;2;3;True;0,685150785;0,685;0,684743238
11;relu;5;3;True;0,691959787;0,687;0,684223332
21;sigmoid;2;4;True;0,693043999;0,687;0,683721848
45;sigmoid;5;5;True;0,708392275;0,6905;0,68247034
27;sigmoid;5;4;True;0,70722554;0,68975;0,681830601
52;relu;10;5;False;0,717585241;0,69175;0,680904065
3;sigmoid;2;3;True;0,678467444;0,6785;0,678450465
9;sigmoid;5;3;True;0,691691573;0,678;0,670890304
4;relu;2;3;False;0,694502153;0,67275;0,661748221
1;softmax;2;3;True;0,25755625;0,5075;0,341699834
6;softmax;5;3;False;0,25755625;0,5075;0,341699834
18;softmax;2;4;False;0,25755625;0,5075;0,341699834
19;softmax;2;4;True;0,25755625;0,5075;0,341699834
30;softmax;10;4;False;0,25755625;0,5075;0,341699834
31;softmax;10;4;True;0,25755625;0,5075;0,341699834
37;softmax;2;5;True;0,25755625;0,5075;0,341699834
43;softmax;5;5;True;0,25755625;0,5075;0,341699834
49;softmax;10;5;True;0,25755625;0,5075;0,341699834
0;softmax;2;3;False;0,24255625;0,4925;0,325033501
7;softmax;5;3;True;0,24255625;0,4925;0,325033501
12;softmax;10;3;False;0,24255625;0,4925;0,325033501
13;softmax;10;3;True;0,24255625;0,4925;0,325033501
24;softmax;5;4;False;0,24255625;0,4925;0,325033501
25;softmax;5;4;True;0,24255625;0,4925;0,325033501
36;softmax;2;5;False;0,24255625;0,4925;0,325033501
42;softmax;5;5;False;0,24255625;0,4925;0,325033501
48;softmax;10;5;False;0,24255625;0,4925;0,325033501
