;accuracy;classifier;classifier_time;f1_score;transformer;transformer_time;vectorizer;vectorizer_time;fscore_1;fscore_2;precision_1;precision_2;recall_1;recall_2;support_1;support_2
0;0,5236;Nearest Neighbors;10,09;0,149892934;TF l2 log;0,03;1-grams;0,69;0,669074743;0,149892934;0,5090371;0,779220779;0,975886525;0,082922014;4935;5065
1;0,6745;Linear SVM;184,24;0,677051295;TF l2 log;0,03;1-grams;0,69;0,671908074;0,677051295;0,668471721;0,680494615;0,675379939;0,673642646;4935;5065
2;0,7247;RBF SVM;414,14;0,726532234;TF l2 log;0,03;1-grams;0,69;0,722843048;0,726532234;0,718287315;0,731107557;0,72745694;0,72201382;4935;5065
3;0,6147;Decision Tree;0,22;0,61862813;TF l2 log;0,03;1-grams;0,69;0,610690108;0,61862813;0,609028617;0,620285828;0,612360689;0,616979269;4935;5065
4;0,495;Random Forest;0,06;0,009415457;TF l2 log;0,03;1-grams;0,69;0,661119313;0,009415457;0,494230962;0,727272727;0,998176292;0,004738401;4935;5065
5;0,6509;AdaBoost;2,87;0,639843186;TF l2 log;0,03;1-grams;0,69;0,661298147;0,639843186;0,634400596;0,670051858;0,690577508;0,612240869;4935;5065
6;0,7075;Naive Bayes;0,02;0,695914336;TF l2 log;0,03;1-grams;0,69;0,718235237;0,695914336;0,684539111;0,734958278;0,755420466;0,660809477;4935;5065
7;0,5257;Nearest Neighbors;9,92;0,160085001;TF l2 linear;0,02;1-grams;0,69;0,669546436;0,160085001;0,510193247;0,776632302;0,973657548;0,089239882;4935;5065
8;0,6729;Linear SVM;178,89;0,675012419;TF l2 linear;0,02;1-grams;0,69;0,67075994;0,675012419;0,6664;0,6794;0,675177305;0,670681145;4935;5065
9;0,7216;RBF SVM;369,04;0,72391908;TF l2 linear;0,02;1-grams;0,69;0,71924163;0,72391908;0,715920498;0,727236501;0,722593718;0,720631787;4935;5065
10;0,6148;Decision Tree;0,2;0,619141784;TF l2 linear;0,02;1-grams;0,69;0,610358082;0,619141784;0,609371844;0,620122797;0,611347518;0,61816387;4935;5065
11;0,4943;Random Forest;0,06;0,006288072;TF l2 linear;0,02;1-grams;0,69;0,660854403;0,006288072;0,493885325;0,666666667;0,998378926;0,003158934;4935;5065
12;0,6518;AdaBoost;2,78;0,634627492;TF l2 linear;0,02;1-grams;0,69;0,667430755;0,634627492;0,631255646;0,677267637;0,708004053;0,5970385;4935;5065
13;0,7069;Naive Bayes;0,01;0,695353913;TF l2 linear;0,02;1-grams;0,69;0,717602852;0,695353913;0,684055841;0,734196664;0,754609929;0,66041461;4935;5065
14;0,5545;Nearest Neighbors;9,5;0,368890778;TF-IDF l2 log;0,01;1-grams;0,69;0,655745306;0,368890778;0,529977517;0,652958877;0,859777102;0,257058243;4935;5065
15;0,6603;Linear SVM;181,11;0,663163114;TF-IDF l2 log;0,01;1-grams;0,69;0,657387796;0,663163114;0,654417671;0,666135458;0,660385005;0,660217177;4935;5065
16;0,717;RBF SVM;383,3;0,71756487;TF-IDF l2 log;0,01;1-grams;0,69;0,716432866;0,71756487;0,708622398;0,725529768;0,724417427;0,709772952;4935;5065
17;0,6153;Decision Tree;0,19;0,617784401;TF-IDF l2 log;0,01;1-grams;0,69;0,61278309;0,617784401;0,6088;0,6218;0,616818642;0,613820336;4935;5065
18;0,4957;Random Forest;0,07;0,035201837;TF-IDF l2 log;0,01;1-grams;0,69;0,658633994;0,035201837;0,494511079;0,567901235;0,985815603;0,01816387;4935;5065
19;0,6497;AdaBoost;2,13;0,631921824;TF-IDF l2 log;0,01;1-grams;0,69;0,665839931;0,631921824;0,629055516;0,675426774;0,707193516;0,593682132;4935;5065
20;0,7107;Naive Bayes;0,01;0,699178538;TF-IDF l2 log;0,01;1-grams;0,69;0,721371473;0,699178538;0,687408223;0,73857645;0,758865248;0,663770977;4935;5065
21;0,5585;Nearest Neighbors;10,29;0,381912362;TF-IDF l2 linear;0,01;1-grams;0,69;0,656607296;0,381912362;0,532819995;0,656400385;0,855319149;0,269299112;4935;5065
22;0,6603;Linear SVM;195,09;0,661484803;TF-IDF l2 linear;0,01;1-grams;0,69;0,659106874;0,661484803;0,652882704;0,667806841;0,665450861;0,655281343;4935;5065
23;0,716;RBF SVM;428,44;0,717525363;TF-IDF l2 linear;0,01;1-grams;0,69;0,714458074;0,717525363;0,709040112;0,722990579;0,719959473;0,712142152;4935;5065
24;0,6147;Decision Tree;0,16;0,617720012;TF-IDF l2 linear;0,01;1-grams;0,69;0,611631892;0,617720012;0,608503811;0,620861588;0,6147923;0,614610069;4935;5065
25;0,4932;Random Forest;0,06;0,001969279;TF-IDF l2 linear;0,01;1-grams;0,69;0,660367243;0,001969279;0,493341344;0,384615385;0,998378926;0,000987167;4935;5065
26;0,6494;AdaBoost;2,05;0,63863121;TF-IDF l2 linear;0,01;1-grams;0,69;0,659545543;0,63863121;0,633227671;0,668104378;0,688145897;0,611648569;4935;5065
27;0,7085;Naive Bayes;0,01;0,697394374;TF-IDF l2 linear;0,01;1-grams;0,69;0,718819331;0,697394374;0,685935199;0,73533275;0,755015198;0,663178677;4935;5065
28;0,5297;Nearest Neighbors;10,06;0,183081466;TF l2 log;0,04;1- and 2-grams;1,94;0,66980271;0,183081466;0,512462398;0,761560694;0,96656535;0,104047384;4935;5065
29;0,6692;Linear SVM;239,84;0,639886784;TF l2 log;0,04;1- and 2-grams;1,94;0,69410024;0,639886784;0,638373873;0,713176413;0,760486322;0,580256663;4935;5065
30;0,7239;RBF SVM;555,19;0,726498266;TF l2 log;0,04;1- and 2-grams;1,94;0,721251893;0,726498266;0,718712274;0,729025845;0,723809524;0,723988154;4935;5065
31;0,6154;Decision Tree;0,31;0,609463851;TF l2 log;0,04;1- and 2-grams;1,94;0,621158392;0,609463851;0,604370328;0,627430483;0,638905775;0,592497532;4935;5065
32;0,4976;Random Forest;0,06;0,021806854;TF l2 log;0,04;1- and 2-grams;1,94;0,662002153;0,021806854;0,495518179;0,788732394;0,996960486;0,011056269;4935;5065
33;0,6583;AdaBoost;3,5;0,649358645;TF l2 log;0,04;1- and 2-grams;1,94;0,666796685;0,649358645;0,642669173;0,676068376;0,692806484;0,624679171;4935;5065
